satellite,hasAccess,distance_km
QF_2,1,4600.72968291098
QF_3,0,NaN
QF_4,0,NaN
QF_5,0,NaN
QF_6,0,NaN
QF_7,0,NaN
QF_8,0,NaN
QF_9,0,NaN
QF_10,1,4600.72968291037
QF_11,1,2252.22531911366
QF_12,1,6688.62913716464
QF_13,0,NaN
QF_14,0,NaN
QF_15,0,NaN
QF_16,0,NaN
QF_17,0,NaN
QF_18,0,NaN
QF_19,1,6830.12763336028
QF_20,1,2408.9780956561
QF_21,1,4288.40772126278
QF_22,0,NaN
QF_23,0,NaN
QF_24,0,NaN
QF_25,0,NaN
QF_26,0,NaN
QF_27,0,NaN
QF_28,0,NaN
QF_29,1,5012.83323082296
QF_30,1,855.970686426643
QF_31,1,5834.57793799428
QF_32,0,NaN
QF_33,0,NaN
QF_34,0,NaN
QF_35,0,NaN
QF_36,0,NaN
QF_37,0,NaN
QF_38,0,NaN
QF_39,1,4237.3819002974
QF_40,1,2443.94193669099
QF_41,1,6683.80153336587
QF_42,0,NaN
QF_43,0,NaN
QF_44,0,NaN
QF_45,0,NaN
QF_46,0,NaN
QF_47,0,NaN
QF_48,0,NaN
QF_49,1,4955.52748633762
QF_50,1,4077.16540405477
QF_51,1,6730.65503483105
QF_52,0,NaN
QF_53,0,NaN
QF_54,0,NaN
QF_55,0,NaN
QF_56,0,NaN
QF_57,0,NaN
QF_58,0,NaN
QF_59,1,6202.48421285238
QF_60,1,5060.70869512514
QF_61,1,6007.0949891565
QF_62,0,NaN
QF_63,0,NaN
QF_64,0,NaN
QF_65,0,NaN
QF_66,0,NaN
QF_67,0,NaN
QF_68,0,NaN
QF_69,1,7115.64431827273
QF_70,1,5237.45335198996
QF_71,1,4753.35409767621
QF_72,1,7609.28448299578
QF_73,0,NaN
QF_74,0,NaN
QF_75,0,NaN
QF_76,0,NaN
QF_77,0,NaN
QF_78,0,NaN
QF_79,1,7328.21206140731
QF_80,1,4581.55911013648
QF_81,1,3655.08023905874
QF_82,1,7336.16194300972
QF_83,0,NaN
QF_84,0,NaN
QF_85,0,NaN
QF_86,0,NaN
QF_87,0,NaN
QF_88,0,NaN
QF_89,1,6735.3727058778
QF_90,1,3182.8384733074
QF_91,1,3974.59795318334
QF_92,0,NaN
QF_93,0,NaN
QF_94,0,NaN
QF_95,0,NaN
QF_96,0,NaN
QF_97,0,NaN
QF_98,0,NaN
QF_99,1,5393.1861037365
QF_100,1,1255.49581288307
