satellite,distance_km
QF_2,4600.72968291098
QF_10,4600.72968291037
QF_11,2252.22531911366
QF_12,6688.62913716464
QF_19,6830.12763336028
QF_20,2408.9780956561
QF_21,4288.40772126278
QF_29,5012.83323082296
QF_30,855.970686426643
QF_31,5834.57793799428
QF_39,4237.3819002974
QF_40,2443.94193669099
QF_41,6683.80153336587
QF_49,4955.52748633762
QF_50,4077.16540405477
QF_51,6730.65503483105
QF_59,6202.48421285238
QF_60,5060.70869512514
QF_61,6007.0949891565
QF_69,7115.64431827273
QF_70,5237.45335198996
QF_71,4753.35409767621
QF_72,7609.28448299578
QF_79,7328.21206140731
QF_80,4581.55911013648
QF_81,3655.08023905874
QF_82,7336.16194300972
QF_89,6735.3727058778
QF_90,3182.8384733074
QF_91,3974.59795318334
QF_99,5393.1861037365
QF_100,1255.49581288307
